property_describe|price|area|room|bath|garage|address
O melhor prédio da Cidade Alta, entre Tirol e Petrópolis! PRONTO PARA MORAR. 3 Quartos, sendo 1 Suíte 3 Banheiros ? 1 Suíte, 1 Social e 1 de Serviço Empreendimento com habite-se...|R$ 340.000|71 m²|3|3|2|Rua Princesa Isabel, Cidade Alta
Piso Laminado no Quarto, Piso Laminado na Sala, Lazer equipado, Previsão para medição de água individualizada, Preparação para Wi-fi nas áreas de lazer, Portas Especiais, Pomar, Co...|R$ 149.990|41 - 44 m²|2|1|1|Avenida Moema Tinoco da Cunha Lima, Pajuçara
Condomínio fechado com apartamentos de 2 quartos na Zona Norte, todos com vaga de garagem. Tudo o que você sempre quis em um só lugar. Conforto, tranquilidade, segurança e área de...|R$ 152.990|41 m²|2|1|1|Avenida Moema Tinoco da Cunha Lima, Zona Norte
Apartamento Edifício Carlos Silva - 120 m² O Apartamento em ótima localização, dois apartamentos por andar, todo reformado com móveis planejados na cozinha.. O apartamento é no 2°...|R$ 430.000|120 m²|3|5|3|Rua Jaguarari, Barro Vermelho
Excelente apartamento com 2 quartos, sendo 1 suíte.|R$ 235.000|55 m²|2|1|1|Pitimbu, Natal
Com 2/4, sala, cozinha, área de serviço e banheiro; condomínio com piscina, churrasqueira, garagem individual. Em ótimo localização no Planalto em Natal. Previsão de termino de obr...|R$ 120.000|42 m²|2|1|1|Rua Abreulândia, Planalto
O apartamento está localizado no bairro Pitimbu possui 56 metros quadrados com 2 quartos sendo 1 suíte e 2 banheiros, cozinha americana, sala para 2 ambientes e varanda. Próximo a...|R$ 190.000|56 m²|2|2|1|Rua Rio Paranapanema, Pitimbu
OPORTUNIDADE! Apartamento à venda em localização excelente, na rua São João, bairro Lagoa Seca, a poucos metros do Corpo de Bombeiros e Av. Alexandrino de Alencar. O imóvel p...|R$ 275.000|80 m²|3|2|2|Rua São João, Lagoa Seca
Apartamento de alto padrão, excelente acabamento, localizado na Av. Amintas Barros, quase esquina com a Av. Prudente de Morais. O residencial Francisco de Goya tem localização supe...|R$ 800.000|142 m²|3|5|2|Avenida Amintas Barros, Lagoa Nova
Apartamento à venda em Neópoles, no Condomínio Residencial Jardim Botânico. Com 81m² o imóvel está dividido em uma ampla sala para dois ambientes, três quartos sendo um suíte, banh...|R$ 175.000|81 m²|3|2|1|Rua Raimundo de Medeiros Dantas, Neópolis
O apartamento no bairro Ponta Negra possui 56 metros quadrados com 2 quartos sendo 1 suite e 2 banheiros Possui área de fitness, espaço gourmet, espaço jardinado, parquinho com dif...|R$ 190.000|56 m²|2|2|1|Rua Joaquim Eduardo de Farias, Ponta Negra
Vendo excelente apartamento no condomínio Porto Veneto em cidade satélite. -primeiro andar -lado da sombra -dois quartos, sendo um suite -um banheiro social -varanda -sala com dois...|R$ 155.000|56 m²|2|2|1|Avenida dos Caiapós, Pitimbu
